Severity,CWE,Tool_A_Alert,Tool_B_Alert,Tool_A_Rule,Tool_B_Rule,Line,TruePositive
Low,561,1,0,4,18,241,0
High,401,1,0,7,18,138,0
High,465,1,0,6,18,114,0
High,465,1,0,6,18,35,1
High,401,1,0,7,18,117,0
High,401,1,0,7,18,67,0
High,401,1,0,7,18,89,0
High,465,1,0,6,18,135,0
Low,561,1,0,4,18,94,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,156,0
High,465,1,0,6,18,28,1
Low,561,1,0,4,18,53,0
High,401,1,0,7,18,39,1
High,465,1,0,6,18,69,0
High,465,1,0,6,18,40,0
High,401,1,0,7,18,42,1
High,465,1,0,6,18,89,0
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,212,0
Low,561,1,0,4,18,165,0
Low,561,1,0,4,18,33,0
High,401,1,0,7,18,43,1
Low,561,1,0,4,18,82,0
Low,561,1,0,4,18,60,0
Medium,227,1,0,1,18,159,0
High,401,1,0,7,18,54,1
Low,561,1,0,4,18,79,0
Low,561,1,0,4,18,33,0
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,138,0
Low,561,1,0,4,18,171,0
High,399,1,0,11,18,64,0
High,399,1,0,11,18,39,0
High,399,1,0,11,18,80,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,141,0
Medium,227,1,0,1,18,99,0
Medium,227,1,0,1,18,35,1
Low,561,1,0,4,18,134,0
Low,561,1,0,4,18,142,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,175,0
Low,561,1,0,4,18,102,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,88,0
Low,561,1,0,4,18,56,0
Medium,227,1,0,1,18,90,0
Medium,227,1,0,1,18,70,0
Medium,227,1,0,1,18,41,1
Low,561,1,0,4,18,91,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,304,0
Low,561,1,0,4,18,339,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,70,0
High,401,1,0,7,18,65,0
High,401,1,0,7,18,35,0
Low,561,1,1,4,32,80,0
Low,561,1,0,4,18,45,0
Low,561,1,0,4,18,33,0
High,119,1,0,3,18,45,1
Low,561,1,0,4,18,65,0
Medium,227,1,0,1,18,35,1
Low,561,1,0,4,18,184,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,136,0
High,401,1,0,7,18,39,1
Low,561,1,0,4,18,71,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,69,0
Low,561,1,0,4,18,46,0
High,189,1,0,9,18,34,1
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,72,0
Low,561,1,1,4,25,37,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,52,0
High,401,1,0,7,18,42,0
High,401,1,0,7,18,70,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,74,0
Unspecified,N/A,1,0,13,18,30,1
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,75,0
Low,561,1,0,4,18,50,0
Medium,227,1,0,1,18,61,0
Low,561,1,0,4,18,374,0
Low,561,1,0,4,18,335,0
Low,561,1,0,4,18,295,0
Low,561,1,0,4,18,322,0
Low,561,1,0,4,18,60,0
Low,561,1,0,4,18,92,0
Low,561,1,0,4,18,70,0
Medium,227,1,0,1,18,43,1
Medium,227,1,0,1,18,82,0
High,399,1,0,11,18,46,0
Low,561,1,0,4,18,132,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,46,0
Low,561,1,1,4,2,112,0
Low,561,1,0,4,18,86,0
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,138,0
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,139,0
Low,561,1,0,4,18,145,0
Low,561,1,0,4,18,205,0
Low,561,1,0,4,18,134,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,109,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,84,0
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,79,0
High,119,1,0,3,18,45,1
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,48,0
High,399,1,0,11,18,69,0
High,399,1,0,11,18,38,0
Low,561,1,0,4,18,139,0
Low,561,1,0,4,18,173,0
Low,561,1,1,4,1,149,0
Low,561,1,0,4,18,47,0
Low,561,1,1,4,32,30,0
Low,561,1,0,4,18,60,0
Low,561,1,0,4,18,45,0
Low,561,1,0,4,18,28,0
High,465,1,0,6,18,81,0
High,465,1,0,6,18,46,1
High,465,1,0,6,18,107,0
Low,561,1,0,4,18,38,0
Low,561,1,0,4,18,65,0
Low,561,1,0,4,18,92,0
High,401,1,0,7,18,30,1
Low,561,1,0,4,18,323,0
Low,561,1,0,4,18,47,0
Low,561,1,1,4,1,31,0
Low,561,1,0,4,18,58,0
High,401,1,0,7,18,29,1
High,401,1,0,7,18,41,0
High,401,1,0,7,18,81,0
High,401,1,0,7,18,63,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,50,0
High,401,1,0,7,18,44,1
Low,561,1,0,4,18,164,0
Medium,227,1,0,1,18,118,0
Low,561,1,0,4,18,132,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,143,0
Low,561,1,0,4,18,117,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,56,0
High,401,1,0,7,18,34,1
Low,561,1,0,4,18,166,0
Low,561,1,0,4,18,142,0
Medium,227,1,0,1,18,40,1
High,465,1,0,6,18,47,0
High,399,1,0,11,18,41,0
Low,561,1,0,4,18,138,0
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,86,0
Low,561,1,0,4,18,112,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,85,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,84,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,35,0
High,401,1,0,7,18,64,0
High,401,1,0,7,18,107,0
High,401,1,0,7,18,44,0
High,401,1,0,7,18,164,0
High,401,1,0,7,18,138,0
Medium,227,1,0,1,18,40,1
Low,561,1,0,4,18,142,0
Low,561,1,0,4,18,126,0
High,401,1,0,7,18,44,1
High,401,1,0,7,18,49,0
High,401,1,0,7,18,42,1
High,399,1,0,11,18,38,0
High,399,1,0,11,18,69,0
Low,561,1,0,4,18,155,0
High,119,1,0,3,18,40,1
Medium,227,1,0,1,18,72,0
Medium,227,1,0,1,18,95,0
Low,561,1,1,4,25,62,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,29,0
High,401,1,0,7,18,44,0
Low,561,1,1,4,1,84,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,35,0
High,465,1,0,6,18,30,1
Low,561,1,0,4,18,145,0
Low,561,1,0,4,18,171,0
Low,561,1,0,4,18,110,0
Low,561,1,1,4,16,55,0
Low,561,1,0,4,18,135,0
Low,561,1,0,4,18,31,0
Low,561,1,0,4,18,85,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,81,0
High,401,1,0,7,18,64,0
High,401,1,0,7,18,42,0
High,401,1,0,7,18,83,0
Low,561,1,0,4,18,46,0
High,465,1,0,6,18,32,1
Low,561,1,0,4,18,53,0
Low,561,1,0,4,18,33,0
Low,561,1,0,4,18,65,0
Low,561,1,0,4,18,35,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,87,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,80,0
Low,561,1,0,4,18,141,0
Low,561,1,0,4,18,63,0
High,399,1,0,11,18,53,0
High,399,1,0,11,18,32,0
High,401,1,0,7,18,35,0
Low,561,1,0,4,18,183,0
Medium,227,1,0,1,18,45,0
Low,561,1,0,4,18,93,0
Low,561,1,0,4,18,66,0
Low,561,1,0,4,18,40,0
Low,561,1,0,4,18,132,0
High,401,1,0,7,18,29,1
Low,561,1,0,4,18,49,0
High,401,1,0,7,18,40,1
Low,561,1,0,4,18,122,0
Low,561,1,0,4,18,44,0
High,399,1,0,11,18,40,0
Low,561,1,0,4,18,95,0
Low,561,1,0,4,18,134,0
Low,561,1,0,4,18,197,0
Low,561,1,0,4,18,154,0
Low,561,1,0,4,18,132,0
Low,561,1,0,4,18,52,0
Medium,465,1,0,6,18,72,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,30,0
High,119,1,0,3,18,44,1
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,60,0
Low,561,1,0,4,18,92,0
Low,561,1,0,4,18,136,0
Medium,227,1,0,1,18,35,1
Low,561,1,0,4,18,67,0
Medium,227,1,0,1,18,42,1
Low,561,1,0,4,18,43,0
Low,561,1,0,4,18,31,0
Low,561,1,0,4,18,49,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,81,0
High,119,1,0,3,18,147,1
Low,561,1,0,4,18,61,0
Low,561,1,1,4,32,48,0
Low,561,1,1,4,32,30,0
High,465,1,1,6,32,39,0
High,465,1,0,6,18,67,0
Unspecified,N/A,1,0,13,18,41,1
High,465,1,0,6,18,86,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,80,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,147,0
Low,561,1,0,4,18,84,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,32,0
Medium,465,1,0,6,18,120,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,46,0
Low,561,1,1,4,32,59,0
High,401,1,0,7,18,49,0
High,401,1,0,7,18,44,1
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,60,0
Low,561,1,0,4,18,29,0
High,401,1,0,7,18,41,1
Medium,227,1,0,1,18,42,1
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,47,0
High,401,1,0,7,18,36,1
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,66,0
High,401,1,0,7,18,44,1
Low,561,1,1,4,26,78,0
Low,561,1,0,4,18,126,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,103,0
Low,561,1,0,4,18,126,0
Low,561,1,0,4,18,42,0
Low,561,1,0,4,18,116,0
Low,561,1,0,4,18,141,0
Low,561,1,0,4,18,86,0
Low,561,1,0,4,18,25,0
Medium,227,1,0,1,18,42,1
Low,561,1,0,4,18,78,0
High,401,1,0,7,18,43,0
High,401,1,0,7,18,65,0
High,401,1,0,7,18,85,0
High,399,1,0,11,18,41,0
Medium,227,1,0,1,18,70,0
Medium,227,1,0,1,18,41,0
Low,561,1,0,4,18,176,0
Low,561,1,0,4,18,133,0
Low,561,1,0,4,18,107,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,29,0
Low,561,1,1,4,8,59,0
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,165,0
Low,561,1,0,4,18,45,0
High,401,1,0,7,18,42,1
Low,561,1,0,4,18,142,0
Low,561,1,0,4,18,166,0
High,401,1,0,7,18,65,0
Low,561,1,0,4,18,83,0
High,119,1,0,3,18,128,1
Low,561,1,0,4,18,148,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,89,0
High,119,1,1,3,32,49,1
Medium,227,1,1,1,4,73,0
Medium,227,1,0,1,18,96,0
Medium,227,1,0,1,18,41,1
Medium,227,1,0,1,18,40,1
Medium,227,1,0,1,18,93,0
Medium,227,1,0,1,18,71,0
High,401,1,0,7,18,69,0
High,465,1,0,6,18,90,0
High,401,1,0,7,18,43,1
High,465,1,0,6,18,70,0
High,465,1,0,6,18,41,0
High,465,1,0,6,18,86,0
High,465,1,0,6,18,67,0
High,465,1,0,6,18,39,0
High,401,1,0,7,18,41,1
High,401,1,0,7,18,29,1
High,401,1,0,7,18,49,1
High,401,1,0,7,18,55,1
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,62,0
High,399,1,0,11,18,69,0
High,399,1,0,11,18,36,0
Medium,227,1,0,1,18,35,0
Medium,227,1,1,1,25,59,0
Medium,227,1,0,1,18,80,0
Medium,227,1,0,1,18,108,0
Medium,227,1,0,1,18,43,1
High,401,1,0,7,18,44,0
Low,561,1,0,4,18,40,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,78,0
Low,561,1,0,4,18,65,0
High,401,1,1,7,2,41,1
Low,561,1,1,4,16,61,0
Medium,227,1,1,1,32,73,0
Medium,227,1,1,1,32,44,1
High,399,1,0,11,18,44,0
High,399,1,0,11,18,86,0
Low,561,1,0,4,18,56,0
High,465,1,0,6,18,28,1
Low,561,1,1,4,25,159,0
Low,561,1,0,4,18,119,0
Low,561,1,0,4,18,74,0
Low,561,1,0,4,18,206,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,295,0
Low,561,1,0,4,18,322,0
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,75,0
Low,561,1,0,4,18,112,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,110,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,137,0
Low,561,1,0,4,18,84,0
Low,561,1,0,4,18,41,0
Low,561,1,0,4,18,113,0
High,401,1,0,7,18,43,0
High,401,1,0,7,18,101,0
High,401,1,0,7,18,72,0
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,60,0
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,105,0
Low,561,1,0,4,18,147,0
Low,561,1,1,4,9,62,0
High,119,1,0,3,18,204,0
High,119,1,0,3,18,178,0
High,119,1,0,3,18,143,1
Low,561,1,0,4,18,150,0
Low,561,1,0,4,18,78,0
Low,561,1,0,4,18,38,0
Low,561,1,0,4,18,60,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,154,0
Low,561,1,0,4,18,239,0
Medium,227,1,0,1,18,118,0
High,465,1,0,6,18,121,0
High,465,1,0,6,18,52,1
High,465,1,0,6,18,91,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,49,0
Low,561,1,0,4,18,75,0
Medium,227,1,0,1,18,38,1
Low,561,1,0,4,18,31,0
Low,561,1,0,4,18,61,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,65,0
Low,561,1,1,4,32,85,0
High,401,1,0,7,18,41,1
Low,561,1,1,4,32,26,0
Low,561,1,1,4,26,83,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,69,0
Low,561,1,0,4,18,37,0
High,401,1,0,7,18,42,1
Low,561,1,0,4,18,142,0
High,401,1,0,7,18,122,0
High,401,1,0,7,18,47,1
High,401,1,0,7,18,71,0
Low,561,1,0,4,18,66,0
Low,561,1,0,4,18,41,0
Low,561,1,0,4,18,141,0
Low,561,1,0,4,18,117,0
Low,561,1,0,4,18,86,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,59,0
Medium,227,1,0,1,18,27,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,35,0
Low,561,1,0,4,18,59,0
Medium,227,1,0,1,18,49,0
Medium,227,1,0,1,18,29,0
Medium,227,1,0,1,18,41,0
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,78,0
Low,561,1,0,4,18,82,0
High,399,1,0,11,18,41,1
Low,561,1,0,4,18,107,0
Low,561,1,0,4,18,81,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,133,0
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,81,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,165,0
Low,561,1,0,4,18,140,0
Low,561,1,0,4,18,208,0
Low,561,1,0,4,18,95,0
Low,561,1,0,4,18,137,0
Low,561,1,0,4,18,148,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,74,0
Low,561,1,0,4,18,55,0
High,401,1,0,7,18,52,0
High,401,1,0,7,18,36,0
High,401,1,0,7,18,83,0
High,189,1,0,9,18,48,1
Medium,227,1,0,1,18,43,1
Medium,227,1,0,1,18,152,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,28,0
High,119,1,0,3,18,43,1
Low,561,1,0,4,18,45,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,41,0
Low,561,1,0,4,18,104,0
Low,561,1,0,4,18,72,0
Low,561,1,1,4,4,83,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,26,0
Medium,227,1,0,1,18,118,0
High,401,1,0,7,18,39,1
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,266,0
High,401,1,1,7,12,42,1
Medium,227,1,0,1,18,63,0
Medium,227,1,0,1,18,83,0
Medium,227,1,0,1,18,34,1
Medium,227,1,0,1,18,41,1
Medium,227,1,0,1,18,69,0
Medium,227,1,0,1,18,88,0
Low,561,1,0,4,18,142,0
Low,561,1,1,4,12,50,0
High,399,1,0,11,18,39,0
Low,561,1,0,4,18,76,0
Low,561,1,1,4,1,32,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,40,0
Low,561,1,0,4,18,93,0
Low,561,1,0,4,18,66,0
Low,561,1,0,4,18,107,0
High,401,1,1,7,8,34,1
Low,561,1,0,4,18,65,0
Low,561,1,0,4,18,61,0
Low,561,1,0,4,18,86,0
Low,561,1,0,4,18,36,0
High,399,1,0,11,18,39,0
High,401,1,0,7,18,40,1
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,107,0
Low,561,1,0,4,18,231,0
Low,561,1,0,4,18,134,0
Medium,704,1,0,2,18,27,1
High,401,1,1,7,8,41,1
High,119,1,0,3,18,76,0
High,119,1,0,3,18,103,0
High,119,1,0,3,18,40,1
Low,561,1,0,4,18,91,0
Low,561,1,0,4,18,126,0
Low,561,1,0,4,18,51,0
Medium,227,1,0,1,18,36,1
Low,561,1,1,4,12,27,0
Low,561,1,0,4,18,140,0
Low,561,1,0,4,18,114,0
Medium,665,1,0,5,18,27,1
Low,561,1,0,4,18,129,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,35,0
Low,561,1,0,4,18,357,0
High,401,1,0,7,18,45,1
Low,561,1,0,4,18,64,0
Medium,704,1,0,2,18,110,0
Medium,704,1,0,2,18,81,0
High,401,1,0,7,18,115,0
Medium,704,1,0,2,18,83,0
High,401,1,0,7,18,51,0
Medium,704,1,0,2,18,48,0
Medium,704,1,0,2,18,46,0
Medium,704,1,0,2,18,112,0
High,465,1,0,6,18,26,1
High,401,1,0,7,18,49,0
High,401,1,0,7,18,44,1
Low,561,1,0,4,18,44,0
Medium,227,1,0,1,18,42,1
Medium,227,1,0,1,18,72,0
Low,561,1,0,4,18,70,0
Low,561,1,0,4,18,50,0
Low,561,1,1,4,27,65,0
Low,561,1,1,4,25,31,0
Low,561,1,1,4,25,42,0
High,189,1,0,9,18,30,1
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,45,0
Medium,227,1,0,1,18,154,0
Medium,227,1,0,1,18,38,1
Medium,227,1,0,1,18,129,0
High,401,1,0,7,18,34,1
High,401,1,0,7,18,48,0
High,465,1,0,6,18,39,0
High,465,1,0,6,18,67,0
High,401,1,0,7,18,41,1
High,465,1,0,6,18,86,0
Low,561,1,1,4,26,133,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,81,0
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,107,0
Medium,227,1,0,1,18,43,1
High,119,1,0,3,18,68,0
High,119,1,0,3,18,40,1
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,53,0
Low,561,1,0,4,18,136,0
Low,561,1,0,4,18,84,0
Low,561,1,0,4,18,110,0
High,399,1,0,11,18,86,0
High,399,1,0,11,18,44,0
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,29,0
High,399,1,0,11,18,42,0
High,399,1,0,11,18,82,0
High,399,1,0,11,18,67,0
High,401,1,0,7,18,46,1
Low,561,1,0,4,18,76,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,46,0
Medium,227,1,0,1,18,64,0
Medium,227,1,0,1,18,36,1
Medium,227,1,0,1,18,83,0
High,401,1,0,7,18,43,0
High,401,1,1,7,25,99,0
High,401,1,0,7,18,71,0
Medium,227,1,0,1,18,39,1
Medium,227,1,0,1,18,96,0
Medium,227,1,0,1,18,72,0
Low,561,1,0,4,18,153,0
Low,561,1,0,4,18,56,0
Low,561,1,1,4,9,35,0
Low,561,1,0,4,18,73,0
High,401,1,0,7,18,39,1
High,401,1,0,7,18,61,0
High,401,1,0,7,18,110,0
High,401,1,0,7,18,129,0
High,401,1,0,7,18,86,0
High,401,1,0,7,18,41,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,68,0
Low,561,1,0,4,18,82,0
Low,561,1,0,4,18,31,0
Low,561,1,0,4,18,41,0
High,401,1,0,7,18,45,0
Low,561,1,0,4,18,140,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,114,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,88,0
Medium,665,1,0,5,18,27,1
Low,561,1,0,4,18,82,0
Medium,227,1,0,1,18,69,0
Medium,227,1,0,1,18,40,1
Medium,227,1,0,1,18,89,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,68,0
Medium,227,1,1,1,26,31,0
Medium,227,1,0,1,18,45,0
Low,561,1,0,4,18,134,0
Low,561,1,1,4,1,59,0
High,465,1,0,6,18,48,1
High,401,1,0,7,18,121,0
High,401,1,0,7,18,77,0
High,401,1,0,7,18,140,0
High,401,1,0,7,18,97,0
High,401,1,0,7,18,42,1
High,189,1,0,9,18,30,1
Low,561,1,0,4,18,86,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,60,0
Low,561,1,0,4,18,70,0
Low,561,1,0,4,18,43,0
Medium,665,1,0,5,18,34,1
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,142,0
High,465,1,0,6,18,108,0
High,401,1,0,7,18,84,0
High,401,1,0,7,18,110,0
High,465,1,0,6,18,35,1
High,401,1,0,7,18,127,0
High,401,1,0,7,18,64,0
Low,561,1,0,4,18,71,0
Low,561,1,0,4,18,136,0
Medium,227,1,0,1,18,122,0
Low,561,1,0,4,18,168,0
Medium,665,1,0,5,18,27,1
Low,561,1,1,4,26,52,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,66,0
Medium,665,1,0,5,18,34,1
Low,561,1,0,4,18,53,0
Medium,227,1,0,1,18,41,0
Medium,227,1,0,1,18,70,0
High,401,1,0,7,18,39,1
High,401,1,0,7,18,26,1
Low,561,1,0,4,18,45,0
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,130,0
Low,561,1,0,4,18,94,0
Low,561,1,1,4,26,128,0
Medium,665,1,0,5,18,27,1
High,119,1,0,3,18,46,1
Low,561,1,0,4,18,33,0
Low,561,1,0,4,18,60,0
Medium,227,1,0,1,18,78,0
Low,561,1,0,4,18,88,0
Medium,227,1,0,1,18,101,0
High,465,1,0,6,18,87,0
High,465,1,1,6,1,52,1
High,465,1,0,6,18,113,0
High,401,1,1,7,32,34,1
High,401,1,0,7,18,39,1
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,56,0
Low,561,1,1,4,1,102,0
Low,561,1,0,4,18,71,0
Low,561,1,0,4,18,141,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,74,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,42,0
Low,561,1,0,4,18,74,0
Low,561,1,0,4,18,128,0
Low,561,1,0,4,18,148,0
High,119,1,0,3,18,50,1
High,401,1,0,7,18,39,0
Low,561,1,0,4,18,53,0
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,71,0
Low,561,1,0,4,18,69,0
Low,561,1,0,4,18,31,0
Low,561,1,0,4,18,72,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,48,0
Medium,465,1,0,6,18,197,0
Medium,465,1,0,6,18,232,0
Medium,465,1,0,6,18,153,0
High,465,1,0,6,18,90,0
High,465,1,0,6,18,123,0
High,465,1,0,6,18,48,1
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,79,0
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,32,0
Medium,227,1,0,1,18,42,1
Medium,227,1,0,1,18,89,0
Medium,227,1,0,1,18,70,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,61,0
Low,561,1,0,4,18,89,0
High,465,1,0,6,18,105,0
High,465,1,0,6,18,80,0
High,465,1,0,6,18,46,1
High,401,1,0,7,18,93,0
High,399,1,0,11,18,42,1
Low,561,1,0,4,18,46,0
Medium,227,1,0,1,18,94,0
Medium,227,1,0,1,18,72,0
Medium,227,1,0,1,18,41,1
High,119,1,0,3,18,37,1
High,119,1,1,3,1,60,0
Medium,227,1,0,1,18,119,0
Medium,227,1,0,1,18,89,0
Medium,227,1,0,1,18,50,1
Low,561,1,0,4,18,45,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,44,0
Unspecified,N/A,1,0,13,18,39,1
Low,561,1,0,4,18,180,0
Low,561,1,0,4,18,144,0
High,401,1,0,7,18,39,1
High,401,1,0,7,18,131,0
High,401,1,0,7,18,88,0
High,401,1,0,7,18,41,0
High,401,1,0,7,18,112,0
High,401,1,1,7,12,62,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,49,0
Low,561,1,1,4,25,30,0
Medium,465,1,0,6,18,228,0
Medium,465,1,0,6,18,149,0
Medium,465,1,0,6,18,193,0
Medium,227,1,0,1,18,38,1
Medium,227,1,1,1,27,141,0
High,401,1,0,7,18,38,0
Low,561,1,0,4,18,123,0
Low,561,1,0,4,18,123,0
Low,561,1,0,4,18,71,0
Low,561,1,0,4,18,32,0
High,401,1,0,7,18,37,1
High,401,1,1,7,26,37,0
High,401,1,0,7,18,45,0
High,401,1,1,7,9,101,0
High,401,1,0,7,18,74,0
Medium,227,1,0,1,18,44,1
Medium,227,1,0,1,18,135,0
Medium,227,1,0,1,18,35,1
Medium,227,1,1,1,25,31,0
